time,open,high,low,close,volume
2023-03-22 04:05:00,8.5,8.5,8.4,8.46,3999
2023-03-22 04:15:00,8.43,8.43,8.4,8.4,1200
2023-03-22 04:20:00,8.41,8.41,8.4,8.4,1434
2023-03-22 04:40:00,8.4,8.4,8.4,8.4,400
2023-03-22 04:45:00,8.41,8.41,8.41,8.41,483
2023-03-22 05:00:00,8.43,8.43,8.43,8.43,1001
2023-03-22 05:05:00,8.42,8.42,8.42,8.42,329
2023-03-22 05:10:00,8.41,8.41,8.41,8.41,1086
2023-03-22 05:15:00,8.4,8.4,8.4,8.4,601
2023-03-22 05:20:00,8.4,8.4,8.4,8.4,432
2023-03-22 05:25:00,8.41,8.41,8.41,8.41,1163
2023-03-22 05:30:00,8.4,8.41,8.4,8.41,1497
2023-03-22 05:40:00,8.41,8.41,8.41,8.41,1646
2023-03-22 05:50:00,8.41,8.41,8.41,8.41,444
2023-03-22 05:55:00,8.41,8.41,8.41,8.41,620
2023-03-22 06:05:00,8.42,8.42,8.42,8.42,500
2023-03-22 06:10:00,8.42,8.42,8.4,8.4,737
2023-03-22 06:15:00,8.41,8.41,8.41,8.41,350
2023-03-22 06:20:00,8.4,8.4,8.4,8.4,245
2023-03-22 06:35:00,8.4,8.4,8.4,8.4,1341
2023-03-22 06:50:00,8.41,8.42,8.41,8.41,884
2023-03-22 06:55:00,8.42,8.42,8.42,8.42,339
2023-03-22 07:05:00,8.42,8.45,8.41,8.45,7191
2023-03-22 07:10:00,8.45,8.46,8.45,8.46,3027
2023-03-22 07:15:00,8.47,8.48,8.47,8.48,2622
2023-03-22 07:20:00,8.46,8.49,8.46,8.49,7195
2023-03-22 07:25:00,8.49,8.5,8.46,8.5,3520
2023-03-22 07:30:00,8.47,8.47,8.47,8.47,1050
2023-03-22 07:35:00,8.47,8.48,8.47,8.48,1378
2023-03-22 07:40:00,8.48,8.48,8.46,8.46,3356
2023-03-22 07:45:00,8.46,8.47,8.45,8.46,2930
2023-03-22 07:50:00,8.46,8.47,8.45,8.45,5777
2023-03-22 07:55:00,8.45,8.45,8.45,8.45,650
2023-03-22 08:00:00,8.46,8.46,8.46,8.46,106
2023-03-22 08:05:00,8.47,8.51,8.41,8.47,33867
2023-03-22 08:10:00,8.4699,8.4699,8.43,8.44,9755
2023-03-22 08:15:00,8.43,8.43,8.42,8.42,1726
2023-03-22 08:20:00,8.42,8.44,8.42,8.42,5046
2023-03-22 08:25:00,8.42,8.43,8.42,8.43,6688
2023-03-22 08:30:00,8.43,8.43,8.42,8.43,8725
2023-03-22 08:35:00,8.43,8.43,8.41,8.41,4911
2023-03-22 08:40:00,8.42,8.42,8.4,8.41,10118
2023-03-22 08:45:00,8.41,8.41,8.41,8.41,3178
2023-03-22 08:50:00,8.41,8.41,8.41,8.41,338
2023-03-22 08:55:00,8.42,8.42,8.4199,8.42,2051
2023-03-22 09:00:00,8.42,8.44,8.42,8.42,8328
2023-03-22 09:05:00,8.43,8.43,8.42,8.43,4051
2023-03-22 09:10:00,8.43,8.43,8.42,8.43,6363
2023-03-22 09:15:00,8.43,8.43,8.42,8.43,4401
2023-03-22 09:20:00,8.43,8.43,8.43,8.43,8660
2023-03-22 09:25:00,8.43,8.44,8.42,8.44,879
2023-03-22 09:30:00,8.45,8.45,8.43,8.45,5605
2023-03-22 09:35:00,8.44,8.505,8.4201,8.49,1078359
2023-03-22 09:40:00,8.485,8.565,8.4,8.535,1065631
2023-03-22 09:45:00,8.535,8.54,8.445,8.53,1363588
2023-03-22 09:50:00,8.52,8.6,8.49,8.545,1186324
2023-03-22 09:55:00,8.5407,8.5496,8.44,8.485,740383
2023-03-22 10:00:00,8.4876,8.52,8.47,8.47,309746
2023-03-22 10:05:00,8.475,8.51,8.465,8.5,405880
2023-03-22 10:10:00,8.495,8.595,8.4925,8.58,1044019
2023-03-22 10:15:00,8.57,8.6,8.5401,8.56,1089270
2023-03-22 10:20:00,8.555,8.59,8.54,8.585,524112
2023-03-22 10:25:00,8.585,8.61,8.58,8.595,517420
2023-03-22 10:30:00,8.595,8.62,8.57,8.61,722380
2023-03-22 10:35:00,8.615,8.6199,8.575,8.5875,733560
2023-03-22 10:40:00,8.585,8.6,8.56,8.595,912717
2023-03-22 10:45:00,8.595,8.6,8.55,8.565,414117
2023-03-22 10:50:00,8.5607,8.57,8.54,8.545,328083
2023-03-22 10:55:00,8.545,8.55,8.53,8.545,331459
2023-03-22 11:00:00,8.545,8.56,8.53,8.535,232154
2023-03-22 11:05:00,8.53,8.55,8.51,8.5299,300270
2023-03-22 11:10:00,8.5215,8.55,8.515,8.515,239045
2023-03-22 11:15:00,8.5196,8.525,8.47,8.475,324528
2023-03-22 11:20:00,8.4784,8.49,8.46,8.4672,210841
2023-03-22 11:25:00,8.4699,8.47,8.46,8.4685,171255
2023-03-22 11:30:00,8.4687,8.4687,8.43,8.436,334068
2023-03-22 11:35:00,8.4327,8.46,8.43,8.455,157973
2023-03-22 11:40:00,8.455,8.47,8.425,8.45,282975
2023-03-22 11:45:00,8.455,8.46,8.4312,8.4382,168939
2023-03-22 11:50:00,8.434,8.44,8.42,8.4382,135750
2023-03-22 11:55:00,8.43,8.45,8.43,8.445,97459
2023-03-22 12:00:00,8.445,8.45,8.42,8.425,171212
2023-03-22 12:05:00,8.425,8.425,8.39,8.4,449606
2023-03-22 12:10:00,8.4,8.4092,8.38,8.38,171958
2023-03-22 12:15:00,8.38,8.39,8.36,8.37,181325
2023-03-22 12:20:00,8.37,8.38,8.35,8.37,257554
2023-03-22 12:25:00,8.365,8.39,8.36,8.3779,173319
2023-03-22 12:30:00,8.375,8.38,8.365,8.375,86719
2023-03-22 12:35:00,8.37,8.38,8.355,8.375,194428
2023-03-22 12:40:00,8.3708,8.39,8.37,8.39,55426
2023-03-22 12:45:00,8.38,8.41,8.38,8.405,124634
2023-03-22 12:50:00,8.405,8.4192,8.4001,8.405,161856
2023-03-22 12:55:00,8.4089,8.43,8.4089,8.4299,132928
2023-03-22 13:00:00,8.425,8.44,8.41,8.44,105621
2023-03-22 13:05:00,8.44,8.45,8.4301,8.4415,350055
2023-03-22 13:10:00,8.445,8.45,8.44,8.445,141261
2023-03-22 13:15:00,8.45,8.47,8.44,8.465,144028
2023-03-22 13:20:00,8.4699,8.48,8.465,8.475,206273
2023-03-22 13:25:00,8.475,8.51,8.475,8.51,404124
2023-03-22 13:30:00,8.51,8.5273,8.5,8.5046,201636
2023-03-22 13:35:00,8.5001,8.505,8.475,8.485,265322
2023-03-22 13:40:00,8.48,8.49,8.45,8.4599,184352
2023-03-22 13:45:00,8.4502,8.46,8.42,8.4258,167651
2023-03-22 13:50:00,8.43,8.43,8.41,8.42,259054
2023-03-22 13:55:00,8.425,8.45,8.42,8.4396,199543
2023-03-22 14:00:00,8.435,8.47,8.4301,8.455,195098
2023-03-22 14:05:00,8.4597,8.52,8.45,8.495,357124
2023-03-22 14:10:00,8.499,8.55,8.495,8.51,354575
2023-03-22 14:15:00,8.51,8.515,8.39,8.4012,387941
